symbol,date,OPEN,CLOSE,MID,B_ALL_RAW,JF_RAW,B_SETUP,B_ENTRY_SIGNAL,B_SETUP_EXPIRED,B_SIGNAL,ICON_JUEFAN,S_SIGNAL,raw_b_count20,raw_b_suppressed,no_raw_buy,pending_setup_date,resolved_setup_date,resolved_setup_status,pending_setup_age,pending_B_BASE_BULL,pending_B_STAGE_COMPONENT,pending_B_BEAR_RECOVER,pending_B_CRASH_RECOVER,resolved_B_BASE_BULL,resolved_B_STAGE_COMPONENT,resolved_B_BEAR_RECOVER,resolved_B_CRASH_RECOVER,raw_B_BASE_BULL,raw_B_STAGE_COMPONENT,raw_B_BEAR_RECOVER,raw_B_CRASH_RECOVER,position,flat_origin,flat_since,flat_bar,held_trade_id,entry_today,exit_today,terminal_today,pending_buy,source_trusted,event_type,raw_b_state,reference_open_date,outcome_date,actual_entry_date,actual_entry_kind,reference_open,ret20_pct,mfe20_pct,mae20_pct,outcome_complete,win,interference,next_entry_observed,drives_entry,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER
TQQQ,2022-01-24,25.65776622595976,27.392108917236328,35.4656177520752,False,True,False,False,False,False,True,False,0,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2021-08-27,103,,False,False,False,True,True,raw_jf,,2022-01-25,2022-02-22,2022-01-25,JF,25.80071632125625,-9.732234632439473,20.72020291059342,-12.816263763550573,True,False,True,True,False,False,False,False,False
TQQQ,2022-01-24,25.65776622595976,27.392108917236328,35.4656177520752,False,True,False,False,False,False,True,False,0,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2021-08-27,103,,False,False,False,True,True,tradable_jf,,2022-01-25,2022-02-22,2022-01-25,JF,25.80071632125625,-9.732234632439473,20.72020291059342,-12.816263763550573,True,False,True,True,True,False,False,False,False
TQQQ,2022-01-31,27.182468138548913,29.459983825683594,31.90033092498779,True,False,True,False,False,False,False,False,1,False,False,2022-01-31,,,0,False,False,False,True,False,False,False,False,False,False,False,True,held,,,,TQQQ:2022-01-25,False,False,False,False,True,raw_b,accepted,2022-02-01,2022-03-01,,,29.741100895224044,-19.833384737711302,4.726039581166974,-34.940723469542746,True,False,True,False,False,False,False,False,True
TQQQ,2022-02-01,29.741100895224044,30.022216796875,31.362994575500487,True,False,False,False,False,False,False,False,2,True,False,2022-01-31,,,1,False,False,False,True,False,False,False,False,False,False,False,True,held,,,,TQQQ:2022-01-25,False,False,False,False,True,raw_b,suppressed,2022-02-02,2022-03-02,,,31.07520625413334,-19.610554765784805,0.2299931356506857,-37.733816096385745,True,False,True,False,False,False,False,False,True
TQQQ,2022-02-02,31.07520625413334,30.732149124145508,30.940367794036867,True,False,False,False,False,False,False,False,3,True,False,2022-01-31,,,2,False,False,False,True,False,False,False,False,False,False,False,True,held,,,,TQQQ:2022-01-25,False,False,False,False,True,raw_b,suppressed,2022-02-03,2022-03-03,,,28.26405237397792,-15.306818886390117,6.338497412348687,-31.54079670316272,True,False,True,False,False,False,False,False,True
TQQQ,2022-02-09,29.33133783650971,30.0174503326416,29.18148832321167,True,False,False,False,False,False,False,False,4,True,False,,,,,False,False,False,False,False,False,False,False,False,False,False,True,held,,,,TQQQ:2022-01-25,False,False,False,False,True,raw_b,suppressed,2022-02-10,2022-03-10,,,28.259281973336833,-23.891400157505128,6.069800018150517,-31.52924022315011,True,False,True,False,False,False,False,False,True
TQQQ,2022-02-24,19.420814107633653,23.61372947692871,26.652398586273193,False,True,False,False,False,False,True,False,4,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,trail,2022-02-22,3,,False,False,False,True,True,raw_jf,,2022-02-25,2022-03-24,2022-02-25,JF,23.823372387867483,14.040011668695996,14.180011071545383,-20.880004399424145,True,True,False,True,False,False,False,False,False
TQQQ,2022-02-24,19.420814107633653,23.61372947692871,26.652398586273193,False,True,False,False,False,False,True,False,4,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,trail,2022-02-22,3,,False,False,False,True,True,tradable_jf,,2022-02-25,2022-03-24,2022-02-25,JF,23.823372387867483,14.040011668695996,14.180011071545383,-20.880004399424145,True,True,False,True,True,False,False,False,False
TQQQ,2022-06-15,11.463806687077772,11.864039421081545,14.035064077377319,False,True,False,False,False,False,True,False,0,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,trail,2022-03-15,65,,False,False,False,True,True,raw_jf,,2022-06-16,2022-07-15,2022-06-16,JF,10.953987668645077,16.528911597637407,23.966914733614942,-7.264028242366183,True,True,False,True,False,False,False,False,False
TQQQ,2022-06-15,11.463806687077772,11.864039421081545,14.035064077377319,False,True,False,False,False,False,True,False,0,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,trail,2022-03-15,65,,False,False,False,True,True,tradable_jf,,2022-06-16,2022-07-15,2022-06-16,JF,10.953987668645077,16.528911597637407,23.966914733614942,-7.264028242366183,True,True,False,True,True,False,False,False,False
TQQQ,2022-10-13,7.8712434054620255,9.200587272644045,10.17543921470642,False,True,False,False,False,False,True,False,0,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2022-08-18,40,,False,False,False,True,True,raw_jf,,2022-10-14,2022-11-10,2022-10-14,JF,9.4578795644804,8.060440166995075,14.05539698231333,-15.113361479610987,True,True,False,True,False,False,False,False,False
TQQQ,2022-10-13,7.8712434054620255,9.200587272644045,10.17543921470642,False,True,False,False,False,False,True,False,0,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2022-08-18,40,,False,False,False,True,True,tradable_jf,,2022-10-14,2022-11-10,2022-10-14,JF,9.4578795644804,8.060440166995075,14.05539698231333,-15.113361479610987,True,True,False,True,True,False,False,False,False
TQQQ,2022-10-21,9.043352392704955,9.800935745239258,9.571754837036133,True,False,True,False,False,False,False,False,1,False,False,2022-10-21,,,0,False,False,True,False,False,False,False,False,False,False,True,False,held,,,,TQQQ:2022-10-14,False,False,False,False,True,raw_b,accepted,2022-10-24,2022-11-18,,,9.829521661349672,5.86526113103254,16.093106791662315,-18.32282063975993,True,True,False,False,False,False,False,True,False
TQQQ,2022-10-24,9.829521661349672,10.134461402893066,9.577710580825805,False,False,False,True,False,True,False,False,1,False,True,,2022-10-21,confirmed,,False,False,False,False,False,False,True,False,False,False,False,False,held,,,,TQQQ:2022-10-14,False,False,False,False,True,confirmed_b,,2022-10-25,2022-11-21,,,10.234519949628943,-1.396641556245637,11.499094589521807,-21.554932941575867,True,False,True,False,False,False,False,True,False
